id	sentence1	sentence2	score
290	A man riding on the back of an orange SUV.	an African man hanging onto the back of a very full yellow van.	2.285933196544647
291	Swimmers are racing in a lake.	Women swimmers are diving in from the starting platform.	2.438734769821167
292	SCO says the pricing terms for a license will not be announced for weeks.	Details on pricing will be announced within a few weeks, McBride said.	2.4836409091949463
293	A white dog with light brown markings has a stick in his mouth and his paws in the snow.	A white dog holds a stick in its mouth while it runs through snow.	4.266030788421631
294	A man is preparing a snake for cooking.	The man is dropping sliced cucumbers into water.	1.0648292303085327
295	In the United States, 20.7 percent of all women smoke.	Nevada is where the most women smoke, 28 percent.	3.110496401786804
296	A group of people are wearing police uniforms conducting an arrest.	A group of police officers are wearing protection.	3.3328819274902344
297	In morning trading, the Dow Jones industrial average was up 40.12, or 0.5 percent, at 8,571.69, having fallen 51 points Monday.	In New York, the Dow Jones industrial average a gauge of 30 blue chip stocks was up 3.29 points or 0.04 per cent to 8,585.97.	1.4819498360157013
298	A man is picking up a tree.	A man is carrying a tree.	3.918534517288208
299	A black dog standing in a grassy area.	A long-haired dog stands in a grassy wooded area.	3.277275264263153
300	Saddam is gone, but we want the (U.S.) occupation to end, said Hit resident Abu Qasim.	Saddam is gone, but we want the (U.S.) occupation to end.	4.118555784225464
301	Yes, there is a rule against this.	There's no rule against it.	3.256083130836487
302	A cat gets stuck on a moving ceiling fan.	A cat is swinging on a fan.	3.588334023952484
303	An elderly man works on his laptop at home.	Older gentleman sitting on couch with laptop.	3.4707528352737427
304	Two women walk down the sidewalk to the store.	Two women walk down the sidewalk in the afternoon.	3.206172287464142
305	A man is dancing.	A woman is exercising.	0.9023883938789368
306	A group of people are sweeping water out of a house.	People are sweeping water out of a house.	4.8497796058654785
307	Two skiing people are doing cross country skiing.	People skiing cross country.	4.497950077056885
308	A cat cleans itself.	A cat is licking itself.	3.353390693664551
309	A machine is sharpening a pencil.	The machine shaved the end of the pencil.	3.6475348472595215
310	You don't have to know.	Other than that you don't have a tax issue.	1.5751397609710693
311	A train is moving.	A man is doing yoga.	0.1963726058602333
312	Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.	Wall Street was also waiting for aluminum maker Alcoa Inc. (nyse: PEP - news - people) to report earnings after the close.	1.8859818577766418
313	It depends on what you want to do next, and where you want to do it.	It depends on what you want to say/imply.	1.650376319885254
314	The man is eating.	A man is eating food.	4.716612994670868
315	One person wields an umbrella.	One person is holding an umbrella.	4.647637903690338
316	PeopleSoft will commit $863 million in cash and issue 52.6 million new shares, the companies said.	The new deal would be valued at $1.75 billion, including $863 million in cash and 52.6 million PeopleSoft shares.	4.1359686851501465
317	The answer to both questions is: Yes.	To directly answer the two questions in your title.	1.9072306156158447
318	A man is riding a motorcycle.	A woman is riding a horse.	0.8532921969890594
319	a man and woman walking past a record shop	A man and woman kissing in front of a crowd of people.	1.3175508379936218
320	The respected medical journal Lancet has called for a complete ban on tobacco in the United Kingdom.	A leading U.K. medical journal called Friday for a complete ban on tobacco, prompting outrage from smokers' groups.	3.5669827461242676
321	Bolivia's army fought to stop columns of protesters from streaming into the food-starved capital on Wednesday as a popular uprising against the president spread.	Bolivia's army fought to stop a column of dynamite-wielding miners from streaming into the besieged capital on Wednesday, leaving two dead as a popular uprising against the President spread.	4.045790135860443
322	It has a margin of error of plus or minus 4 percentage points.	That poll had 712 likely voters and sampling error of plus or minus 3.7 percentage points.	1.5589156746864319
323	A red haired women in black is posing for a man while resting on a tree.	A man in a black shirt is holding a child wearing sunglasses.	0.7352817058563232
324	You don't need to know everything.	They just don't want you to know it.	2.433668226003647
325	A man is kicking a soccer ball.	A man is performing tricks with a soccer ball.	3.911559581756592
326	There are three options:	There are only three options:	4.25934374332428
327	A wet, blond dog carries a stick on the shore.	The wet, brown dog has a stick in his mouth and is running in the sand next to the water.	3.1215593218803406
328	Three young women standing in a room together.	Three dark haired young women in white, red and black sweaters.	3.41543972492218
329	A man is doing exercise.	A man is firing a rifle.	0.5696679651737213
330	The Nasdaq Composite Index rose 19.67, or 1.3 percent, to 1523.71, its highest since June 18.	The S&P 500 had climbed 16 percent since its March low and yesterday closed at its highest since Dec. 2.	1.5596455335617065
331	A little girl peddling a scooter.	A girl is riding a scooter.	4.443518221378326
332	A person is on a baseball team.	A person is playing basketball on a team.	2.0401161909103394
333	A man is playing a flute.	A man is riding a scooter.	0.7335616648197174
334	A group of dark-skinned people are walking past barbed wire.	Two women are gossiping by a fence.	1.068490445613861
335	A man is slicing open a fish.	A man is cutting up a fish.	4.378155469894409
336	I'd say it primarily depends on two things:	I'd say it depends on the ultimate outcome you want?	2.573401927947998
337	A man is playing guitar.	A boy is talking to a giant dog.	-0.34813500940799713
338	A man has his son on his back	A man spent his time with his son.	3.566608726978302
339	I think it is great that you had a test conducted.	I think that's a great plan.	1.5886810421943665
340	A human riding a skateboard.	A child is riding a skateboard.	4.269926846027374
341	You burn more Calories digesting protein than you do carbohydrates and fat.	The more you sweat, the faster you will burn calories and fat.	2.144422233104706
342	Electronic Data Systems Corp. Thursday said the Securities and Exchange Commission has asked the company for documents related to its large contract with the U.S. Navy.	In a regulatory filing, EDS said the SEC had asked for information related to its troubled IT outsourcing contract with the US Navy.	3.393835425376892
343	The single currency rose as far as 135.13 yen , matching a record high hit shortly after the euro's launch in January 1999.	The single currency rose as far as 135.26 yen , its highest level since the introduction of the single currency in January 1999.	4.273443818092346
344	Moffitt said the results need to be replicated in another study before testing of individuals for presence of the long or short versions of the gene will be pursued.	Professor Moffitt said the results needed to be replicated before pursuing testing of individuals for the presence of the long or short versions of the gene.	4.625703990459442
345	The two boys are playing kick ball back and forth to each other.	The players are kicking each other while attempting to kick the ball.	3.2133638858795166
346	It depends on what you want to do next, and where you want to do it.	It depends on what you want to be able to do.	3.1880611181259155
347	A table is set with wine and dishes for two people.	A wooden table is set with candles, wine, and a purple plastic bowl.	2.7993470430374146
348	A person wipes butter on a tray.	A person is buttering a tray.	4.109621644020081
349	People are waiting for the fireworks to start.	Three people are waiting for the rain to stop.	2.2042351961135864
350	Martin, 58, will be freed today after serving two thirds of his five-year sentence for the manslaughter of 16-year-old Fred Barras.	Martin served two thirds of a five-year sentence for the manslaughter of Barras and for wounding Fearon.	3.696078360080719
351	Group of people posing with two men dressed as Elvis.	A group of people standing with two other people dressed as Elvis.	4.342785179615021
352	Yes, you should make a résumé.	Yes, you should talk to your professor.	2.0402687788009644
353	The dog is chasing the geese.	One dog is chasing the other.	3.044078052043915
354	A man is slicing a tomato.	A man is slicing a bun.	1.3864658772945404
355	Boy and white dog running in grassy field	A boy and a dog running on grass	4.2724281549453735
356	A woman peels garlic with her hands.	The woman is slicing herbs.	2.310701459646225
357	The new sensor -- dubbed CANARY for ''cellular analysis and notification of antigen risks and yields'' -- hijacks this natural process with two important changes.	The team has named the sensor Canary, for cellular analysis and notification of antigen risks and yields.	3.995252847671509
358	Three children playing in snow.	Three children playing in hay	3.3733975887298584
359	Two men are playing football.	Two men are practicing football.	4.102256596088409
360	It's not a good idea.	No, it's not a good thing.	3.21108341217041
361	A man with a gray beard is being shaved in front of a lecture hall	A man with a beard is sitting in the grass.	2.3429694771766663
362	A woman is spreading mustard on a bread roll.	A kitten is playing with a woman's finger.	0.11744095012545586
363	Gov. Linda Lingle and members of her staff were at the Navy base and watched the launch.	Gov. Linda Lingle and other dignitaries are scheduled to be at the base to watch the launch.	4.004111588001251
364	A black and white dog runs through the water.	Black and brown dog runs through field.	2.6515671610832214
365	Zombies parading around eating brains.	The zombies are eating flesh together.	3.8621002435684204
366	It depends on what you want to have in your tank.	It depends on what you want to achieve.	1.423037052154541
367	A grey cat lying on a wooden table.	A grey cat laying on a dining table.	4.389554262161255
368	Three people sit at a picnic table outside of a building painted like a union jack.	Three people sit at an outdoor table in front of a building painted like the Union Jack.	4.321931898593903
369	A boy is playing violin on stage.	A person is mixing a pot.	0.23537572473287582
370	A man is reading an email.	A person opening a banana.	0.39893604815006256
371	Two ducks are standing by the water.	The birds are swimming in the water.	2.2540462017059326
372	Rich media doubled its share, increasing from 3% in Q2 2002 to 6% in Q2 2003.	Rich Media interactive ad formats doubled their share from 3% in second quarter of 2002, to 6% in the second quarter of 2003.	4.297198057174683
373	A little boy and a little girl playing together outside.	A woman wearing a white shirt stands on the street.	0.24661798030138016
374	The dollar was at 117.85 yen against the Japanese currency, up 0.1 percent.	Against the Swiss franc the dollar was at 1.3289 francs, up 0.5 percent on the day.	1.863507479429245
375	The civilian unemployment rate improved marginally last month -- slipping to 6.1 percent -- even as companies slashed payrolls by 93,000.	The civilian unemployment rate improved marginally last month _ sliding down to 6.1 percent _ as companies slashed payrolls by 93,000 amid continuing mixed signals about the nation's economic health.	4.670583009719849
376	Someone touched the kitten chewing on a string.	Someone is cutting paper.	0.10087918490171432
377	A man is peeling a potato.	A man is slicing a potato.	3.916221857070923
378	A small camouflaged airplane parked in the grass.	A small dog wearing a pink shirt tied to a railing.	0.7434053719043732
379	The next court session will be when the three-judge tribunal announces its verdict in mid-February.	The court's three-judge tribunal was expected to give its verdict next February.	4.533798098564148
380	A person wearing a helmet rides a bike near a white structure.	A girl wearing black shorts and boots is standing next to a blue motorcycle.	1.479787528514862
381	Motorcycle parked next to a car outside.	A motorcycle parked next to a car.	4.822061657905579
382	A cat sleeping on the coach with a pillow behind it.	The cat is laying on an animal print blanket.	2.673428952693939
383	A woman is cutting onions.	A woman is cutting tofu.	1.5993382036685944
384	I'd say it primarily depends on two things:	I'd say it depends what conditions you have.	2.7713555097579956
385	The Space Infrared Telescope Facility's mission is to search for the beginnings of the universe.	NASA is scheduled to launch the Space Infrared Telescope Facility on Monday morning.	2.573409676551819
386	Tan cows look closely at the camera.	A white and grey cat in a bathroom sink looking at the camera.	0.6920232623815536
387	It is about a third of what I owe in the world, he told reporters.	It ain't coming to me, but it's only about a third of what I owe in the world.	3.6118829250335693
388	The black and white dog has its mouth wide open.	A black and white dog jumps in the snow.	2.1162688732147217
389	A steam engine and train moving toward the camera.	A white sheep on a hillside looking at the camera.	1.1837273836135864
390	Two motorbikes racing on a dirt course.	two motorbikes on a dirt track.	4.461970627307892
391	I think you're looking for Mikey (1992).	I think you're looking for the movie	1.9194966554641724
392	The children are holding musical instruments.	A group of children are singing and playing instruments	3.7064412236213684
393	You don't need any visa.	You don't have to worry.	1.7374026775360107
394	A dog has a sweater on.	A man in a suit jacket is sitting on a red couch with a cat.	1.1523519456386566
395	A woman is cracking eggs.	A man is talking to a woman.	0.45732658356428146
396	But in the first 30 seconds after Young entered the ring, the family knew it was an uneven match, Meyers said.	But in the first 30 seconds of the bout, family members knew it was an uneven match, Jodie Meyers, Stacy Young's sister, said.	3.8231825828552246
397	Older gentleman looking at red motorcycle.	A man looking at a red motorcycle.	4.447416663169861
398	the men are about to score in a water polo tournament	The two men are about to compete in a match.	2.466702163219452
399	You have a problem.	This is a big problem.	2.7278003096580505
400	There are a few things you can do: 	There are a few minimally-effective things you can do at the personal level.	2.3759523034095764
401	Last week, his lawyers asked Gov. Mark R. Warner to grant clemency, but the governor declined to intervene.	Last week, his lawyers asked Warner to grant clemency under certain conditions that would have lead to a new sentencing hearing.	3.4835833311080933
402	The bishop told police he thought he had hit a dog or a cat or that someone had thrown a rock at his vehicle.	Bishop O'Brien, aged 67, had told police he thought he had hit a dog or cat.	3.5153937339782715
403	The man is sitting cross legged wearing a cloak and holding a stick.	Man sitting cross legged while wearing a brown cloth and holding a wooden stick.	3.7024396657943726
404	That compares with a profit of $1 million, or breakeven, on $1.39 billion in revenue during the same period last year.	Total revenue for the second quarter was $1.48 billion, up 7% from $1.39 billion in the same period last year.	2.6612451672554016
405	The kids are at the theater watching a movie.	it is picture day for the boys	0.7351341843605042
406	The small dog is wearing a sweater and looking up at the camera.	A small white dog wearing a jacket looks up at the camera.	3.623824715614319
407	It was developed with consultation from more than 300 leaders in academia, industry, government and the public.	The plan, called The NIH Roadmap, was developed over 14 months with help from more than 300 consultants in industry and academia.	2.9114755988121033
408	In the US, it will depend on the school.	This will depend on the university.	3.855941891670227
409	A black dog stands next to materials at a construction site.	A black dog stands in the middle of a construction site.	4.351692199707031
410	A television, upholstered chair, and coffee stable in a bright room.	A leather couch and wooden table in a living room.	1.9122177362442017
411	A dog swims through the water.	A dog wearing a cape is running through the snow.	1.626259684562683
412	A New Castle County woman has become the first Delaware patient to contract the West Nile virus this year, the state's Department of Health reported.	A 62-year-old West Babylon man has contracted the West Nile virus, the first human case in Suffolk County this year, according to the county health department.	3.642961084842682
413	The child's bike got wet.	She is putting away the bike.	2.6352745294570923
414	In addition to O'Connor, Rehnquist's majority opinion was joined by Justices David Souter, Ruth Bader Ginsburg, and Stephen Breyer.	Joining him in the majority opinion were Justices Sandra Day O'Connor, David H. Souter, Ruth Bader Ginsburg and Stephen G. Breyer.	4.3883538246154785
415	I've had this same problem.	I had this same problem.	4.701737761497498
416	No it does not affect your ratings.	No it is not.	0.2702159434556961
417	The Bush administration blames Hussein loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops for the wave of bombings and guerrilla attacks.	The Bush administration blames the wave of bombings and guerrilla attacks on Saddam loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops.	4.739950895309448
418	A chimp is kicking a target.	A woman is putting oil into a skillet.	0.010437322780489922
419	A man dressed in a pale scarf with a stick.	A runner is resting in the shade with a bottle of soda.	1.1458976566791534
420	A black dog looking at the camera.	The black and white bull is looking at the camera.	2.9492712020874023
421	You need to add this to your resume because it is the only position you have had.	This gives you the opportunity to make your case that you really do have expertise in XXX.	1.2795981764793396
422	The cat is licking a bottle.	A cat plays with a small bottle.	3.588436245918274
423	The girl has a driver's license	A man has a driver's license.	3.278859853744507
424	Two women sitting outside laughing.	Two women standing outside of a bus.	1.8791739642620087
425	The woman is wearing yellow.	The woman is wearing red.	1.877857893705368
426	You just have to base your answer on what you do know, which is what you want.	Yes, you can do exactly what you want to do.	2.08657443523407
427	Dennehy, who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums, had begun to read the Bible daily.	Dennehy, who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums, became a born-again Christian in June 2002.	3.1656816601753235
428	It is impossible to answer this question without a form check.	This is a part answer to your question	0.9858930855989456
429	Two dogs are running through the grass near a house and trees.	Two dogs are running through a green yard	3.5861659049987793
430	A kid sits on a soccer ball outside.	A kid sitting on a soccer ball at the park.	4.434555768966675
431	You are on the right path.	You're on the right path.	4.793158769607544
432	two cats, one brown and one white laying on a bed with a blue blanket.	Two cats, one ginger, the other white laying on a bed.	3.8206255435943604
433	Initial autopsy reports show they died of dehydration, hyperthermia and suffocation.	Two more died later, and initial autopsy reports show they succumbed to dehydration, hypothermia and suffocation.	4.23860490322113
434	A woman is about to paint.	A boy is about to take a picture.	0.7027630507946014
435	You just have to base your answer on what you do know, which is what you want.	Th answer to you problem is that you dont actually know what you're getting in .	2.258773297071457
436	A man is standing in front of the window and looking outside.	A man is staring out the window.	3.8747569918632507
437	A cat plays in his water.	The cat fished a straw out ouf his water dish.	3.3900031447410583
438	The technology-laced Nasdaq Composite Index .IXIC shed 15 points, or 0.98 percent, to 1,492.	The broader Standard & Poor's 500 Index <.SPX> edged down 9 points, or 0.98 percent, to 921.	1.5204605460166931
439	A man holding a cat.	A man holding a dog.	2.4257032573223114
440	There are two things to consider:	A couple things to consider:	3.981183171272278
441	State health officials said today a young northeast Kansas woman likely has the state's first case of monkeypox among humans or animals.	Health officials confirmed today that a northeast Kansas woman has the state's first case of monkeypox and the first case west of the Mississippi River.	4.062690734863281
442	He refused to reveal what percentage of flights carried sky marshals, or whether they would be increased.	He refused to say what percentage of domestic flights had security officers on board.	3.268395960330963
443	A black dog is jumping out of water.	A black dog is shaking off water.	3.858644664287567
444	The brown dog runs on the snow with a white ball in his mouth.	Four dogs play in the snow with the city skyline behind them.	2.4381238222122192
445	A man attacks a woman.	A man slaps a woman.	3.593282103538513
446	Two zebras play in an open field.	Two zebras are playing in a field.	4.788837730884552
447	I have few suggestions for you:	I have two suggestions for you:	4.125547707080841
448	Two workers are sitting next to pipes eating lunch	The construction workers are sitting down to eat lunch.	3.4258881211280823
449	Chaudhry was released 56 days later and the Fiji military installed an all-indigenous government led by Qarase, who won democratic elections in September 2001.	The Fijian military installed an all-indigenous government led by Mr Qarase, who won democratic elections in September 2001.	4.2799317836761475
450	How do you do that?	How to do that?	4.387071132659912
451	A woman is riding a horse.	A man rides a horse.	3.7508147954940796
452	Six children are cleaning a room.	Two male children cleaning up leaves in a parking lot.	2.2663940489292145
453	A man in a brown coat rubs his nose.	A bald man with a red beard holds his hand near his mouth.	1.779351681470871
454	In addition, primary care trusts (PCTs) were given star ratings for the first time this year.	Primary Care Trusts and Mental Health Trusts have also been formally rated for the first time this year.	3.81763756275177
455	You can buy it on amazon for $5.	You can buy it on ebay for $25 and up.	3.235258162021637
456	A woman is water skiing.	A woman is slicing fish.	1.1347925662994385
457	You shouldn't feel any obligation at all.	You don't need sauce at all.	2.131189852952957
458	Shares of Mandalay closed down eight cents to $29.42, before the earnings were announced.	Shares of Mandalay closed down 8 cents at $29.42 Thursday.	4.522160887718201
459	Work into it slowly.	It seems to work.	1.431298702955246
460	Further testing is still under way, but at this stage, given the early detection, the outlook in such instances would be positive, the specialist said yesterday.	But at this stage, given the early detection, the outlook in such instances would be positive, he said.	3.8474613428115845
461	People gathered in a room.	People gathered together in a room.	4.871463179588318
462	A man is cutting up a cucumber.	A man is slicing a cucumber.	4.645214676856995
463	I expect Japan to keep conducting intervention, but the volume is likely to fall sharply, said Junya Tanase, forex strategist at JP Morgan Chase.	"Junya Tanase, forex strategist at JP Morgan Chase, said ""I expect Japan to keep conducting intervention, but the volume is likely to fall sharply."""	4.8468247056007385
464	MGM, NBC and Liberty executives were not immediately available for comment.	A Microsoft spokesman was not immediately available to comment.	3.162546455860138
465	a man working at the steel mill	A man working in a foundry.	2.97269344329834
466	A woman is stabbing a potato with a fork.	A woman is puncturing a potato with a fork.	4.417601823806763
467	She was taken by ambulance to Charing Cross Hospital in Hammersmith.	She was taken to Charing Cross Hospital, where she remained critically ill last night.	2.895801067352295
468	A woman is exercising.	A man is dancing.	0.9023883938789368
469	I think it is depends on the program.	It depends on how the term is used I think.	2.200850546360016
470	2 Cows are in a field.	Two sheep are in a field.	2.4351146817207336
471	A man pours rice into a pot.	A man is putting rice in a bowling pot.	4.098917841911316
472	People on motorcycles wearing racing gear ride around a racetrack	People on motorcycles ride around a racetrack	4.779982268810272
473	"The Justice Department filed suit Thursday against the state of Mississippi for failing to end what federal officials call ""disturbing"" abuse of juveniles and ""unconscionable"" conditions at two state-run facilities."	The Justice Department filed a civil rights lawsuit Thursday against the state of Mississippi, alleging abuse of juvenile offenders at two state-run facilities.	3.6522918939590454
474	a man wearing a gray hat fishing out of a fishing boat.	A man wearing a straw hat and fishing vest in a stream.	3.1479722261428833
475	A man in a top hat rides a white horse.	A man with a top hat riding a white horse.	4.951385259628296
476	A soldier walks a dog.	A man walks a dog.	3.7748318910598755
477	Take a look at these:	Take a look at this: 	4.02908593416214
478	Researchers found the fossils in a semidesert area of Venezuela, about 250 miles west of Caracas.	Phoberomys' skeleton was unearthed 250 miles west of Caracas, Venezuela.	3.4578782320022583
479	A boy with dark hair is in water and is looking up.	The man is short hair.	1.7142784595489502
480	A man is making a bed.	A man is speaking to an audience.	0.7855188846588135
481	In the US, it will depend on the school.	It really depends on the school and the program.	4.240272045135498
482	The consensus estimate of analysts polled by Thomson First Call called for a profit of $1.70 per share.	Analysts polled by Reuters Research, a unit of Reuters Group Plc, on average forecast profit of $1.69 per share.	3.3884137868881226
483	A man is cycling.	A boy is riding a bicycle.	3.210219144821167
484	Young couple sitting on a black couch.	Young couple sitting on couch.	4.510068893432617
485	Hope this is what you are looking for.	Is this the kind of thing you're looking for ?	2.4630339443683624
486	Site Finder has been visited 65 million times since its introduction, Galvin said.	Through Sunday, Sept. 21, Site Finder has been visited over 65 million times by Internet users.	3.7827998399734497
487	A deer jumps a fence.	A deer is jumping over a fence.	4.799045920372009
488	A boy is playing a key-board.	A little boy is playing a keyboard.	4.020569026470184
489	The support will come as a free software upgrade called WebVPN for current customers that have support contracts.	The upgrade will be available as a free download for current customers with SmarNet support in January 2004.	2.504062056541443
490	Indeed, Mr. Weill, a self-described workaholic, said he planned to remain very involved in the company.	Still, Mr. Weill will remain very much a power at the company.	3.2385000586509705
491	Its keywords are supported by Chinese language Web portals.	Chinese language Web portals also support 3721 keywords, the Web site said.	3.3484238386154175
492	There are a few things I think you should do.	There are quite a few things you would need to do;	3.053073287010193
493	A man is praying.	A man is dancing.	1.0043544322252274
494	A pole is behind a person that is playing peekaboo with a child.	There is a child with a ball	1.874849945306778
495	Only Intel Corp.'s 0.3 percent yield was lower.	Only Intel Corp. has a lower dividend yield.	3.411340117454529
496	A young Asian girl is applying eyeliner.	A girl is putting on eye makeup.	3.7175559997558594
497	A group of horses grazing in a field.	Group of horses grazing in grassy field.	4.773800075054169
498	Blond boy jumping onto deck.	A boy jumping down a wet inflatable slide.	2.519901990890503
499	You should do it.	You should prime it first.	2.1017828583717346
500	You answered your own question.	You have answered your own question.	4.553396701812744
501	Four dogs stand in the snow.	Four dogs playing in the snow.	4.479531943798065
502	A girl in a riding hat on a horse.	A girl riding a brown horse.	3.967098593711853
503	It is impossible to answer this question without a form check.	It is difficult, if not impossible, to give a complete answer to this question.	2.9885482788085938
504	You have to decide what you want to get out of this.	You have to know what you want to do.	2.639285922050476
505	Schofield got Toepfer to admit on cross-examination that she ignored many of O'Donnell's suggestions and projects.	But under cross-examination by O'Donnell's attorney, Lorna Schofield, Toepfer conceded she had ignored many of O'Donnell's suggestions and projects.	4.524501264095306
506	I had the same problem as you.	I have exactly the same problem.	4.163673520088196
507	The Episcopal Diocese of Central Florida became one of the first in the nation Saturday to officially reject the national denomination's policies on homosexuality.	The Episcopal Diocese of Central Florida voted Saturday to repudiate a decision by the denomination's national convention to confirm a gay man as bishop.	3.3927232027053833
508	A woman is playing in the ocean.	A woman is preparing shrimp to cook.	1.8778440356254578
509	A pile of used wooden building materials with a chair on top.	Pile of wooden debris with chair on top.	3.9018329977989197
510	Unfortunately the answer to your question is we simply do not know.	"My answer to your question is ""Probably Not""."	1.9862791895866394
511	a young man wearing a white t-shirt and green and black shorts standing on a stump.	A man wearing a white shirt and red and black shorts is running on the sidewalk.	2.311827838420868
512	The key thing to realize here is that it's not your job to make people do their work.	It really isn't your problem how they are going to find a qualified person to do the job.	2.6436978578567505
513	It's also a matter of taste.	It's definitely just a matter of preference.	2.8561684489250183
514	On July 22, Moore announced he would appeal the case directly to the U.S. Supreme Court.	Moore of Alabama says he will appeal his case to the nation's highest court.	3.4963494539260864
515	As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.	Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls.	4.395801424980164
516	An okapi is eating from a tree.	A moose drinks from a sprinkler.	0.2151346206665039
517	Some of what you can do:	Not much you can do besides:	2.992240786552429
518	The man is kissing and hugging the woman.	A man is hugging and kissing a woman.	4.911418557167053
519	A kid is talking in class.	A girl is going to class.	2.985154390335083
520	Two people are in bed.	Two boxers are in the ring.	1.113826185464859
521	Black and white cows grazing in a pen.	Two black and white cows drinking out of a pond.	2.5830185413360596
522	The tech-laced Nasdaq Composite Index .IXIC eased 5.16 points, or 0.32 percent, at 1,590.75, breaking a six-day string of gains.	The tech-heavy Nasdaq Composite Index .IXIC was off 0.11 percent, or 1.78 points, at 1,594.13.	2.41010844707489
523	A woman is cutting an onion.	A woman is cleaning a garden.	1.7561349272727966
524	people walk home	People waiting.	0.7454345375299454
525	A man is erasing a chalk board.	A woman is dancing, and singing.	0.056444937363266945
526	You don't need to know everything.	You don't have to know.	3.6508524417877197
527	A man is playing the guitar and singing.	A man sings with a guitar.	4.494784474372864
528	How do you do that?	How should you do that?	3.8235068321228027
529	A black and white cow looking through the fence.	A black and white dog looking at the camera.	1.5153869986534119
530	Democrats currently hold a 17-15 advantage in the state's congressional delegation.	The Texas congressional delegation now is 17-15 Democratic.	3.731961250305176
531	Singapore reported no suspected SARS cases Wednesday, but officials quarantined 70 people who had contact with the Taiwanese patient.	Still, Singapore quarantined 70 people who had been in close contact with the scientist.	3.256256878376007
532	These despicable acts were committed by killers whose only faith is hate, Bush said, adding that the United States will find the killers.	These despicable acts were committed by killers whose only faith is hate and the United States will find the killers and they will learn the meaning of American justice.	3.6875516176223755
533	A man is performing labor.	A man is performing today.	1.7545264959335327
534	Another was in serious condition at Northwest Medical Center in Springdale.	At Northwest Medical Center of Washington County in Springdale, one child is in serious condition.	4.0533047914505005
535	A man is playing a musical keyboard.	A man is playing a keyboard piano.	4.44316565990448
536	This is a very unusual request.	This sounds a bit unusual.	2.648683786392212
537	A pitcher on a mound throws a baseball.	A boy in the middle of a pitch at a baseball game.	3.158276677131653
538	People are dancing outside.	A group of people are dancing.	4.220562279224396
539	There are a few possible reasons.	There are a few reasons that paint wrinkles.	1.8753978610038757
540	You want to start in the room that is the largest to make sure you have the straightest start.	You will have to start with the clinic., and maybe move on to the insurance company.	0.4504500702023506
541	Analysts expected earnings of 27 cents a share on revenue of $17.7 billion, Thomson First Call says.	Hewlett-Packard is putting in for a second-quarter profit of $659 million, or 29 cents a share, on revenue of $18 billion.	1.8191155791282654
542	A cat is playing on the floor.	A man is slicing garlic.	-0.4582627862691879
543	Large group of people standing outside of a building.	A group of people are ice skating in a big city.	1.6455429792404175
544	A light brown dog runs down a path happily.	A pale dog runs down a path.	4.010832905769348
545	A man in a black suit is surfing along a crashing wave.	A surfer wearing a black wet suit is riding a a white wave in the ocean.	3.3189839124679565
546	A person is scrubbing a zucchini.	A woman is scrubbing a zucchini with a vegetable brush.	4.449334740638733
547	This is a problem that the professor has to deal with.	This is a big problem.	2.242240607738495
548	"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions."	"Morales, who pleaded guilty in July, expressed ""sincere regret and remorse"" for his crimes."	4.331764578819275
549	A person is peeling a potato.	The man is peeling a potato.	4.7480350732803345
550	A boy skateboards down the railing of some graffiti stairs	A skateboarder slides down a handrail on his feet.	3.209693431854248
551	A man is playing a guitar.	A man is playing a trumpet.	1.9155752658843994
552	Local police authorities are treating the explosion as a criminal matter and nothing has been ruled out.	Acting New Haven Police Chief Francisco Ortiz said police were treating the explosion as a criminal matter.	2.877836227416992
553	A black and white cat is high up on tree branches.	Black and white lamb with tag in right ear.	0.6528311222791672
554	A brown and white cow in a field looking into the camera.	The black and white cat is looking up at the camera.	1.3943466544151306
555	The woman is kneeling next to a cat.	A girl is standing next to a man.	1.2929162383079529
556	The BlueCore3-Multimedia includes a 16-bit stereo audio CODEC with dual ADC and DAC for stereo audio.	BlueCore3-Multimedia contains an open platform DSP co-processor and also includes a 16-bit stereo audio codec with dual ADC and DAC for stereo audio.	4.672036170959473
557	McGill also detailed the hole that had been cut in the Caprice's trunk.	McGill also said a dark glove was stuffed into a hole that had been cut in the Caprice's trunk.	4.0233540534973145
558	Yes, there is a reason to not do what you propose.	Valid reasons to feel the way you do, but not a reason to resign.	1.8124282360076904
559	The two dogs are playing in the yard.	Two dogs are playing on the grass.	4.094251394271851
560	Brendsel and chief financial officer Vaughn Clarke resigned June 9.	The company's chief executive retired and chief financial officer resigned.	2.274818569421768
561	A man mixes vegetables in a pot.	A person is stirring vegetables in a pot.	4.15401816368103
562	There's not a lot you can do about that.	I'm afraid there's not really a lot you can do.	3.392127752304077
